Rank,Movie,Lifetime Gross,Year
363,Fast & Furious (2009),155064265,2009
364,Over the Hedge (2006),155019340,2006
365,Fantastic Four (2005),154696080,2005
366,Horton Hears a Who! (2008),154529439,2008
367,Mad Max: Fury Road (2015),154058340,2015
368,Jerry Maguire (1996),153952592,1996
369,Trolls (2016),153707064,2016
370,Beverly Hills Cop II (1987),153665036,1987
371,Gremlins (1984),153378102,1984
372,Scooby-Doo (2002),153294164,2002
373,Cars 3 (2017),152901115,2017
374,Sex and the City (2008),152647258,2008
375,Runaway Bride (1999),152257509,1999
376,La La Land (2016),151101803,2016
377,Divergent (2014),150947895,2014
378,Rambo: First Blood Part II (1985),150415432,1985
379,We're the Millers (2013),150394119,2013
380,Terminator 3: Rise of the Machines (2003),150371112,2003
381,Daddy's Home (2015),150357137,2015
382,G.I. Joe: The Rise of Cobra (2009),150201498,2009
383,Neighbors (2014),150157400,2014
384,American Hustle (2013),150117807,2013
385,Puss in Boots (2011),149260504,2011
386,Sonic the Hedgehog (2020),148974665,2020
387,Les Misérables (2012),148809770,2012
388,Knocked Up (2007),148768917,2007
389,As Good as It Gets (1997),148478011,1997
390,Little Fockers (2010),148438600,2010
391,Megamind (2010),148415853,2010
392,Sing 2 (2021),148338755,2021
393,Hotel Transylvania (2012),148313048,2012
394,Talladega Nights: The Ballad of Ricky Bobby (2006),148213377,2006
395,Gran Torino (2008),148095302,2008
396,Lethal Weapon 2 (1989),147253986,1989
397,War for the Planet of the Apes (2017),146880162,2017
398,X-Men: First Class (2011),146408305,2011
399,Paul Blart: Mall Cop (2009),146336178,2009
400,True Lies (1994),146282411,1994
401,Lilo & Stitch (2002),145794338,2002
402,The Santa Clause (1994),145539357,1994
403,The Meg (2018),145443742,2018
404,American Pie 2 (2001),145103595,2001
405,Taken (2009),145000989,2009
406,One Hundred and One Dalmatians (1961),144880014,1961
407,The Great Gatsby (2013),144840419,2013
408,I Robot (2004),144801023,2004
409,Lethal Weapon 3 (1992),144731527,1992
410,The Fast and the Furious (2001),144533925,2001
411,Mamma Mia! (2008),144169664,2008
412,Doctor Dolittle (1998),144156605,1998
413,Pokémon Detective Pikachu (2019),144105346,2019
414,Rio (2011),143619809,2011
415,Kung Fu Panda 3 (2016),143528619,2016
416,Juno (2007),143495265,2007
417,Marley & Me (2008),143153751,2008
418,The Smurfs (2011),142614158,2011
419,Once Upon a Time... In Hollywood (2019),142502728,2019
420,xXx (2002),142109382,2002
421,The Jungle Book (1967),141843612,1967
422,The Chronicles of Narnia: Prince Caspian (2008),141621490,2008
423,National Lampoon's Animal House (1978),141600000,1978
424,Pocahontas (1995),141579773,1995
425,A Few Good Men (1992),141340178,1992
426,Slumdog Millionaire (2008),141319928,2008
427,Rush Hour (1998),141186864,1998
428,The Blair Witch Project (1999),140539099,1999
429,Deep Impact (1998),140464664,1998
430,Shazam! (2019),140371656,2019
