Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
458,A-Mark Precious Metals,Wholesalers: Diversified,Wholesalers,"El Segundo, CA",$8.16,7%,$0.13,$1.44,$0.82,381
459,KeyCorp,Commercial Banks,Financials,"Cleveland, OH",$8.13,8%,$1.92,$189.81,$11.58,17660
460,ARKO,Specialty Retailers: Other,Retailing,"Richmond, VA",$8.13,27%,$0.07,$3.26,$1.02,12223
461,Lululemon athletica,Specialty Retailers: Apparel,Retailing,"Sumner, WA",$8.11,(No previous year),$0.86,$5.61,$46.31,34000
462,Old Republic International,Insurance: Property and Casualty (Stock),Financials,"Chicago, IL",$8.08,-13%,$0.69,$25.16,$7.40,9500
463,Zoetis,Pharmaceuticals,Health Care,"Parsippany, NJ",$8.08,4%,$2.11,$14.92,$77.05,13800
464,Marathon Oil,"Mining, Crude-Oil Production",Energy,"Houston, TX",$8.04,(No previous year),$3.61,$19.94,$15.09,1570
465,J.M. Smucker,Food Consumer Products,"Food, Beverages & Tobacco","Orrville, OH",$8.00,0%,$0.63,$16.06,$16.78,6700
466,Huntington Bancshares,Commercial Banks,Financials,"Columbus, OH",$7.95,(No previous year),$2.24,$182.91,$16.24,19920
467,NGL Energy Partners,Pipelines,Energy,"Tulsa, OK",$7.95,(No previous year),$0.18,$6.07,$0.38,842
468,Ingredion,Food Production,"Food, Beverages & Tobacco","Westchester, IL",$7.95,15%,$0.49,$7.56,$6.71,11700
469,Fortune Brands Innovations,"Building Materials, Glass",Materials,"Deerfield, IL",$7.92,3%,$0.69,$6.12,$7.46,11200
470,PPL,Utilities: Gas and Electric,Energy,"Allentown, PA",$7.90,11%,$0.76,$37.84,$20.47,6527
471,Sanmina,Semiconductors and Other Electronic Components,Technology,"San Jose, CA",$7.89,17%,$0.26,$4.86,$3.56,36000
472,Bed Bath & Beyond,Specialty Retailers: Other,Retailing,"Union, NJ",$7.87,-15%,$0.56,$5.13,$0.18,32000
